season,t2m_ondjfm,tmin_ondjfm,tmax_ondjfm,td2m_ondjfm,isotherm0_m_ondjfm,lapse_K_per_m_ondjfm,snow_cover_ondjfm,precip_ondjfm,snowfall_ondjfm,pdd_ondjfm,t2m_djfm,tmin_djfm,tmax_djfm,td2m_djfm,isotherm0_m_djfm,lapse_K_per_m_djfm,snow_cover_djfm,precip_djfm,snowfall_djfm,pdd_djfm,snowfall_fraction_ondjfm,snowfall_fraction_djfm,swe_max
2011,7.811523536832671,-3.3708559620325693,19.91442579535095,-1.1963164797936277,3013.184296047144,-0.0042863264349009235,17.167537112224082,515.5901640147295,121.49065381010179,1434.5805403763538,4.115972309914014,-7.128240599871589,16.474883164108974,-2.2364206652056424,2069.3895308486453,-0.004448674635764273,25.750303233515368,497.8496245067869,121.47773047254736,503.65720866084706,0.23563415730062498,0.2440048651094068,38.5223134919544
2012,4.788923888663295,-7.314184682912374,15.543626961228151,-2.025130703359016,2206.1352421488755,-0.004500231254189428,29.748853334797058,637.7500024682026,264.54438372784523,884.2731858006982,1.8724879588971248,-10.558930026241384,12.008895308899866,-3.343811991269874,1537.7380790575662,-0.004530332933409455,43.37585963407106,532.7439781645845,258.7393143168569,230.92153199507794,0.41480891055117647,0.48567290278581554,136.45820700652598
2013,7.841724729416238,-3.826745691574748,19.64492596601873,1.3836279871766806,2939.5033769994225,-0.004317831190235095,22.647943029047003,848.4306901139594,194.40141057994472,1433.4839317406158,4.713258945140538,-7.030450632335615,15.94731877080315,-0.2548952409848795,2167.0741269419873,-0.00440691554703216,33.82571264175503,709.6334800216564,193.36199682523483,569.8893734195118,0.2291305734754045,0.27248150245015756,85.39004100478266
2014,6.738762081393541,-4.276928341231051,18.41207883957504,-0.7675545372361418,2675.303926405007,-0.004408584628846899,19.724837563758694,614.5868661789664,102.62128370634892,1233.5498091233437,3.588190454106737,-7.525009674769791,15.197553960366278,-2.004987830357379,1910.044218473688,-0.004523447287257062,29.469683772993907,498.39042074570887,101.45219081993545,435.37227660266103,0.16697604415852554,0.2035596724915764,33.88101825564527
2015,6.922716881267235,-4.250789135708914,17.71003000946244,1.2403843439700968,2735.3580599243455,-0.004275459579613802,18.265719496090338,760.5286063404317,124.20956637919673,1268.512350698221,4.594918037527961,-6.7277594738786775,15.00058804416615,-0.2624130212115148,2183.0108583432684,-0.004309572200437588,26.22361755206354,463.50229172240006,115.70269397319828,558.0156701869146,0.16332004522075455,0.24962701595981476,28.049663046477804
2016,6.990508414383744,-4.422429117545136,17.97133375237549,1.4331580676051487,2744.898510062349,-0.004364210706656092,24.282256282956165,1005.0193237517567,188.52337515324848,1277.2114532042917,3.944626406025506,-8.210637834126373,14.726552480166376,-0.5944991243506479,1982.305521081068,-0.004508499895049336,35.90548054161255,709.7087232846213,185.08021364139304,474.4672292926609,0.1875818411625033,0.2607833433198038,85.4334825727947
2017,6.111195528405157,-5.562046548833365,17.399782621845578,-1.645341088943951,2540.8887196526566,-0.00452190966923763,27.27843160090543,615.0242854975521,172.56076301985843,1126.117077396581,2.563780924904222,-8.928053552132283,13.299732782852033,-2.3978454975113976,1650.9977640320228,-0.004764814094968495,40.86415092335312,537.2971820496983,170.14455103493995,316.03497122890377,0.2805755269976981,0.31666749188199184,72.40331075642833
2018,8.745134156519507,-3.1688583435365465,19.328968198108168,1.4045745258030138,3168.5556630827527,-0.004237265573293208,9.836254400102606,619.6795117933929,65.39936487683072,1601.1494968884285,6.430732746774538,-5.280386976376505,16.767897453365364,0.8773130529124415,2656.7809814763687,-0.0041878234774560975,13.885989625674895,487.5262684171943,61.622490503923785,781.5570025626656,0.10553740059528625,0.1263982978886199,9.626255853298485
2019,7.206032254826776,-3.0668595971716477,17.367861729274534,2.077649624985488,2799.0077059094306,-0.004331535650917726,22.264181356226718,1240.302268979586,188.51066354882713,1320.6873413587236,4.041543264255878,-5.912436336922013,13.269336610251301,0.291564311188921,2032.5537733278109,-0.0044263310471373135,33.28155146502867,980.8807320754996,187.59480062943186,490.7764804448084,0.15198767934522725,0.1912513871411152,70.53440935109899
2020,7.528214017630394,-3.6849692946632806,18.450825162984405,0.691467629670143,2919.484024030975,-0.004309497961316086,21.612448988539594,737.3789211395945,160.14156631282668,1384.1407744558674,4.363249944741995,-6.784705122629816,14.52812618288084,0.016728522710820926,2107.624925968582,-0.004467538299887573,32.373040187366755,661.1403458324135,159.70971847548088,534.1090318780603,0.21717676180020612,0.2415670431886852,65.85255065033289
2021,8.014610871013511,-4.141881644458901,19.66641077021229,-0.2664786204688312,2998.8997261931054,-0.0043296987371045014,14.376172250927425,480.9734195252804,102.25370616189755,1466.7534498750929,4.820151636594147,-7.790775150417318,16.276796735677863,-1.131644933123411,2181.0144015281617,-0.004427723741368978,20.963097017748986,368.5793611723217,97.55836566463599,583.7676701231993,0.2125974160127637,0.2646875434216855,31.14820320388178
2022,7.2410492229704175,-5.026800161232927,19.682494915701295,-0.6781333928714824,2759.96386643678,-0.004441964895400498,23.879902644875596,559.0537675584523,165.04514021744217,1323.653325307681,3.66556298974416,-9.067885641790483,15.800596348284301,-1.4417905935909374,1900.864722270172,-0.004550453214072974,35.74047242568984,528.5928094248819,164.56183638034793,442.08393035724123,0.2952223020305212,0.31132061096213937,57.23407267575156
2023,8.241431607810066,-2.866445154046526,19.405330662588415,0.33231362048788543,3101.574089078771,-0.004236799739208179,14.231885669989895,549.4340576786651,112.03417880685677,1518.3876079418603,4.787246183645408,-6.494159229169071,15.886173618074054,-0.552444523655808,2258.910066123714,-0.004302928348392987,21.119290316836633,415.26447924528895,110.13502874688248,589.6979443933153,0.2039083257419394,0.2652165890688372,61.15743800061573
2024,8.687610100872869,-1.7018993991913949,19.206499519236626,2.608746215362629,3160.8593905202524,-0.004241030348440253,12.816419073714409,919.94727914008,111.44756220612668,1592.5444370260261,5.814481355656241,-4.201166971833743,16.399190847563332,1.0606261365619645,2504.322717643946,-0.004239971534765259,18.276096540564584,736.165388896616,106.37215060964839,708.7557116456264,0.12114559685453083,0.1444949086360631,40.07701457155136
