date,year,month,snowmelt_sum,runoff_sum,surface_runoff_sum,sub_surface_runoff_sum,total_evaporation_sum,snow_depth_water_equivalent
2003-06,2003,6,3.649427281872818E-7,0.020377122224416008,1.0214548252629621E-4,0.02027494308965526,-0.07509274532668933,1.309572932897123E-8
2003-07,2003,7,7.3120498073808645E-9,0.009477667609024088,5.4456150107275505E-6,0.009472181438248723,-0.05015827488466184,-7.27919033709973E-25
2003-08,2003,8,4.703840757729508E-9,0.0049470639511211886,1.4231110896606156E-5,0.004932806073433087,-0.03755992704896848,-7.3024048077877215E-25
2003-09,2003,9,1.7874957091854386E-9,0.002924965371537098,8.681197905754883E-6,0.002916241583069159,-0.023086610458622214,-7.345364920210326E-25
2003-10,2003,10,4.4920322314524446E-5,0.00410117415549668,0.001980803056920224,0.0021203532006630744,-0.02394208658591975,5.525972655112658E-6
2003-11,2003,11,0.002085062632086883,0.014608554169227267,0.01157097132148444,0.0030375633703290084,-0.02928048800480261,2.292661786416614E-4
2003-12,2003,12,0.01967627487774774,0.027736236114269598,0.01869797558133417,0.009038261064227945,-0.017327066907775066,0.010133261307925873
2004-01,2004,1,0.042016444757480884,0.05989318108328861,0.019082606988519758,0.04081057812828912,-0.014563562776995137,0.04615328684478202
2004-02,2004,2,0.052946778969791566,0.10631591875322575,0.016364927740759542,0.08995098984258111,-0.019362293927827262,0.0783682049357368
2004-03,2004,3,0.07365745144496708,0.11407230409294963,0.019239783012540645,0.0948325173161926,-0.05442997305276178,0.05278483876721058
2004-04,2004,4,0.021791165176371516,0.08070306130411532,0.01821598512758381,0.06248707249642117,-0.07769909603286654,0.008529568585212933
2004-05,2004,5,0.001072442243184664,0.044917905995159324,0.008064542430553406,0.03685336151659194,-0.10605267531443205,1.3995983905268922E-4
2004-06,2004,6,4.736172373524901E-9,0.019653633903647764,2.1376194118763246E-5,0.019632232791111877,-0.08734282790856956,-7.27919033709973E-25
2004-07,2004,7,6.858932315357809E-9,0.010429780899882649,4.590416849465629E-5,0.010383855623639174,-0.0579868659911642,-7.306051525405375E-25
2004-08,2004,8,5.357658076631158E-9,0.005570892685084338,2.61871827094175E-6,0.005568247934317738,-0.040056569616511814,-7.345364920210326E-25
2004-09,2004,9,1.368164517784303E-9,0.0032853316875297847,1.8587782325054175E-6,0.003283438931366048,-0.02532027702957977,-7.345364920210326E-25
2004-10,2004,10,8.031063128897381E-10,0.0025371612739771812,1.854093409491892E-4,0.002351732469453637,-0.020838694221339597,-7.345364920210326E-25
2004-11,2004,11,0.00899571576817147,0.012158243529183885,0.009373482099728067,0.002784764938865678,-0.02635180767838978,0.004188039330966641
2004-12,2004,12,0.022122666027873328,0.003698349185978941,0.0017164053242244633,0.0019819446529001435,-0.014293128641493423,0.016013740534493285
2005-01,2005,1,0.03821094351220544,0.012782429529517766,0.007085967882656633,0.005696459385446976,-0.012785286876918612,0.04234065517803497
2005-02,2005,2,0.0620406066176875,0.0540133403906533,0.017720964888200335,0.036292375070395975,-0.015325471260016377,0.11487487746412961
2005-03,2005,3,0.08052405587030377,0.14473794811142163,0.0341126475556415,0.11062530266669354,-0.0453613124200785,0.059533610790635315
2005-04,2005,4,0.03581906467701083,0.08417937355077516,0.015995108094804367,0.06818425427652548,-0.08170568558493066,0.01426783067299451
2005-05,2005,5,9.083761138037866E-4,0.039570408328979116,0.004296542359595064,0.0352738585518227,-0.1008428092954426,8.51139552941807E-5
2005-06,2005,6,4.4614402650497695E-9,0.016167671200563293,3.7068806360325705E-5,0.016130575556466353,-0.06796449356200972,-7.345364920210326E-25
2005-07,2005,7,7.29911473733605E-9,0.00814709402617695,1.6259106572718757E-5,0.008130804706347075,-0.050941529741483235,-7.345364920210326E-25
2005-08,2005,8,6.6674888800796725E-9,0.004380390057122297,3.595038060840425E-5,0.004344417396325889,-0.03752543554273423,-7.345364920210326E-25
2005-09,2005,9,2.3487852435629382E-9,0.0026320455871080787,1.9878081882797135E-5,0.0026121362994807797,-0.02299336577952004,-7.345364920210326E-25
2005-10,2005,10,4.2370588726597863E-5,0.0021353669773631215,2.1318632413070757E-4,0.0019221596056315043,-0.02071160305076518,3.09680680776477E-6
2005-11,2005,11,0.0023128081713223686,0.0024157949856921336,9.382887567218618E-4,0.0014774822979246047,-0.021713640760453626,2.547401541210713E-4
2005-12,2005,12,0.008574084592953769,0.0055898489874032535,0.004024730062310338,0.0015650984872513654,-0.01837125201967192,0.007683793039058336
2006-01,2006,1,0.03776294103466089,0.01603777331434141,0.010286323567083795,0.005751455866258955,-0.012241826288372547,0.05107828789580777
2006-02,2006,2,0.048476611584528095,0.12823928286540467,0.061794850730434586,0.06644442727992711,-0.019209756607730125,0.09694025453028823
2006-03,2006,3,0.06847525687564726,0.08695763840456748,0.01696947472492381,0.06998816809327953,-0.05199873137648462,0.07018580877631375
2006-04,2006,4,0.04442484000793166,0.11196956285412203,0.030256193573572638,0.08171337011063293,-0.07771896189386013,0.01741102279559966
2006-05,2006,5,0.0011241760260197152,0.05139545305841554,0.005726782318106547,0.045668666724543026,-0.11302128586030052,1.2185556626273026E-4
2006-06,2006,6,2.8134259848588715E-9,0.021076827632174156,3.653932748234732E-5,0.02104025124891326,-0.08063776784689904,-7.345364920210326E-25
2006-07,2006,7,8.268958856300592E-9,0.010370383051416346,7.803820080471787E-6,0.010362548950125507,-0.053906841754966024,-7.345364920210326E-25
2006-08,2006,8,4.893851276837127E-9,0.005470099855733361,2.2092844136240313E-5,0.005447972893657996,-0.04061194123142493,-7.345364920210326E-25
2006-09,2006,9,1.2466337020600683E-9,0.0032080889491875944,6.749945604616685E-6,0.0032013046977664205,-0.0243956394605981,-7.345364920210326E-25
2006-10,2006,10,2.0291792924505995E-5,0.016430281570677108,0.012600422611932434,0.0038298517925129997,-0.0346591646702311,9.790881602926132E-7
2006-11,2006,11,0.0037492678317263828,0.021220191422867,0.01481212108501454,0.006408056775609945,-0.031439849638814424,6.007192412464894E-4
2006-12,2006,12,0.004179462432897503,0.0047312934836774645,8.694777584986097E-4,0.0038618176680085144,-0.01601622517461795,0.006175982177727975
2007-01,2007,1,0.03593552870646513,0.008035972450054807,0.0029840241965850777,0.005051946986026748,-0.01163362442535455,0.04922485908934807
2007-02,2007,2,0.05770782285765397,0.043970042899809915,0.016165362853353227,0.027804681598696524,-0.019441394396629758,0.07994083915325387
2007-03,2007,3,0.060376140056159044,0.07157221439160723,0.017820695850809906,0.05375151637699196,-0.04503915973935355,0.03933764332663592
2007-04,2007,4,0.03244852928926524,0.12970789309015757,0.027430676126375113,0.10227721020570242,-0.0700053075572294,0.016734362813125885
2007-05,2007,5,0.0067485775316479864,0.06680359969105336,0.0039594147943846116,0.06284417729136353,-0.10693920313710431,9.981762913633095E-4
2007-06,2007,6,5.838856686051857E-9,0.022688203996619978,8.019719943842719E-5,0.022607977928547858,-0.0789845769669327,-7.345364920210326E-25
2007-07,2007,7,1.096893266542052E-8,0.010733872981032504,1.1254294606736135E-4,0.01062130653879532,-0.054569513842925674,-7.345364920210326E-25
2007-08,2007,8,6.459158353807208E-9,0.0056503656436016885,9.73089344921737E-5,0.005553024539439056,-0.041011868145023854,-7.345364920210326E-25
2007-09,2007,9,9.606561751999257E-10,0.003248405237242388,3.895410778631685E-6,0.0032444755348259914,-0.025774923944471173,-7.345364920210326E-25
2007-10,2007,10,8.125669986139398E-7,0.0024102887793859837,1.0241506174075216E-4,0.002307857284639424,-0.019600354033294798,4.9644405234583814E-8
2007-11,2007,11,0.0026280979382600276,0.0027578286072248086,0.001034550399677603,0.0017232591939556517,-0.018420928738870967,6.463448639425983E-4
2007-12,2007,12,0.010489197458797152,0.00873817554485659,0.00694367341499502,0.001794496956961045,-0.016241012998045437,0.004037835102626636
