date,ym,year,month,season,season_label,season_month,sca,sle,sdi,scv
2016-11-01,2016-11,2016,11,2017,2016/17,2,125.827,2865.292,0.31,0.425
2016-12-01,2016-12,2016,12,2017,2016/17,3,5411.15,1745.203,11.438,12.036
2017-01-01,2017-01,2017,1,2017,2016/17,4,3788.98,1871.311,10.069,7.445
2017-02-01,2017-02,2017,2,2017,2016/17,5,8899.55,1587.59,20.545,11.04
2017-03-01,2017-03,2017,3,2017,2016/17,6,2559.65,2045.498,6.256,3.055
2017-10-01,2017-10,2017,10,2018,2017/18,1,0.0,,0.013,0.066
2017-11-01,2017-11,2017,11,2018,2017/18,2,344.679,2584.358,1.226,2.384
2017-12-01,2017-12,2017,12,2018,2017/18,3,2075.42,2100.715,4.98,5.297
2018-01-01,2018-01,2018,1,2018,2017/18,4,3251.94,1987.018,7.695,5.141
2018-02-01,2018-02,2018,2,2018,2017/18,5,2357.53,2090.912,5.622,2.258
2018-03-01,2018-03,2018,3,2018,2017/18,6,877.12,2468.885,2.182,1.245
2018-10-01,2018-10,2018,10,2019,2018/19,1,2.274,3198.083,0.092,0.292
2018-11-01,2018-11,2018,11,2019,2018/19,2,344.016,2725.204,1.138,1.858
2018-12-01,2018-12,2018,12,2019,2018/19,3,3007.08,1996.933,7.779,5.657
2019-01-01,2019-01,2019,1,2019,2018/19,4,9867.42,1539.899,22.845,11.252
2019-02-01,2019-02,2019,2,2019,2018/19,5,4164.53,1887.41,10.645,3.602
2019-03-01,2019-03,2019,3,2019,2018/19,6,4082.65,1907.86,10.593,3.287
2019-10-01,2019-10,2019,10,2020,2019/20,1,0.0,,0.049,0.211
2019-11-01,2019-11,2019,11,2020,2019/20,2,25.219,3070.019,0.159,0.496
2019-12-01,2019-12,2019,12,2020,2019/20,3,1907.17,2172.818,5.074,4.251
2020-01-01,2020-01,2020,1,2020,2019/20,4,8879.05,1566.131,20.711,11.057
2020-02-01,2020-02,2020,2,2020,2019/20,5,10190.02,1510.423,22.742,15.77
2020-03-01,2020-03,2020,3,2020,2019/20,6,2578.06,2053.25,6.398,2.614
2020-10-01,2020-10,2020,10,2021,2020/21,1,0.0,,0.011,0.053
2020-11-01,2020-11,2020,11,2021,2020/21,2,392.98,2682.911,1.244,2.217
2020-12-01,2020-12,2020,12,2021,2020/21,3,1685.12,2200.776,4.465,4.041
2021-01-01,2021-01,2021,1,2021,2020/21,4,4510.05,1799.226,9.158,10.163
2021-02-01,2021-02,2021,2,2021,2020/21,5,3791.84,1894.857,9.226,5.131
2021-03-01,2021-03,2021,3,2021,2020/21,6,1463.55,2263.424,3.724,1.89
2021-10-01,2021-10,2021,10,2022,2021/22,1,0.0,,0.049,0.227
2021-11-01,2021-11,2021,11,2022,2021/22,2,85.255,2805.753,0.303,0.643
2021-12-01,2021-12,2021,12,2022,2021/22,3,2658.98,2020.84,6.107,6.746
2022-01-01,2022-01,2022,1,2022,2021/22,4,17550.03,1280.424,30.006,26.49
2022-02-01,2022-02,2022,2,2022,2021/22,5,5349.53,1780.516,12.422,8.089
2022-03-01,2022-03,2022,3,2022,2021/22,6,2630.7,2046.755,6.53,2.134
2022-10-01,2022-10,2022,10,2023,2022/23,1,0.587,3350.813,0.089,0.307
2022-11-01,2022-11,2022,11,2023,2022/23,2,165.879,2874.38,0.559,1.258
2022-12-01,2022-12,2022,12,2023,2022/23,3,846.405,2456.949,2.421,1.873
2023-01-01,2023-01,2023,1,2023,2022/23,4,1982.77,2127.863,4.952,4.28
2023-02-01,2023-02,2023,2,2023,2022/23,5,7914.79,1634.188,18.733,9.511
2023-03-01,2023-03,2023,3,2023,2022/23,6,1805.15,2164.279,4.244,2.787
2023-10-01,2023-10,2023,10,2024,2023/24,1,0.005,,0.108,0.442
2023-11-01,2023-11,2023,11,2024,2023/24,2,509.665,2506.98,1.576,3.222
2023-12-01,2023-12,2023,12,2024,2023/24,3,1200.89,2323.179,3.106,2.863
2024-01-01,2024-01,2024,1,2024,2023/24,4,4020.02,1847.479,9.268,5.95
2024-02-01,2024-02,2024,2,2024,2023/24,5,3673.53,1929.895,9.651,4.777
2024-03-01,2024-03,2024,3,2024,2023/24,6,2202.76,2124.155,5.81,2.267
