year,month,NCP,MOI
1969,6,0.34183294,0.44539535
1969,7,0.8432869,1.9026792
1969,8,0.14207137,0.6721882
1969,9,0.48079693,0.455162
1969,10,2.5431867,0.28620073
1969,11,-1.6485866,-1.0822475
1969,12,-0.46874073,-1.5202589
1970,1,-0.3270049,-1.9403076
1970,2,-1.6137304,0.0026174784
1970,3,-1.7191067,-0.8699462
1970,4,-1.5821432,0.53604436
1970,5,0.14269489,0.13060233
1970,6,0.8602851,0.60629547
1970,7,-0.7164545,1.404325
1970,8,0.42812365,0.92826515
1970,9,-0.11208725,1.0541956
1970,10,0.36746168,0.36588165
1970,11,0.022470117,0.027906895
1970,12,1.1079963,-1.0736673
1971,1,-0.22344851,-1.0852488
1971,2,1.1457279,0.7208673
1971,3,-0.39759815,-1.5578687
1971,4,0.24394666,-1.5484033
1971,5,0.30441797,-0.40287423
1971,6,-0.26738432,0.85956717
1971,7,0.10496473,1.2326757
1971,8,0.25070298,0.9154661
1971,9,0.10470629,0.5912306
1971,10,1.758477,1.0940454
1971,11,-0.37841845,-1.4622712
1971,12,1.9556949,0.1263504
1972,1,1.0875156,-1.776056
1972,2,-0.029030085,-1.7967365
1972,3,0.7352284,-0.6584388
1972,4,-0.71811306,0.01986897
1972,5,-0.77853215,0.16714476
1972,6,-0.64923954,0.328891
1972,7,0.15656245,0.87409115
1972,8,-0.27705073,0.9463317
1972,9,0.82783294,-0.24889132
1972,10,1.0397179,-0.515218
1972,11,0.105768085,0.0049455166
1972,12,0.5932099,-0.47818708
1973,1,2.2466404,-0.027665854
1973,2,-0.18636239,-0.17340878
1973,3,1.1884971,-0.018627048
1973,4,-1.4884506,-0.13803172
1973,5,-0.74392945,0.31824517
1973,6,0.14933348,0.59762084
1973,7,0.41777045,0.9174369
1973,8,0.4819082,1.4502336
1973,9,1.1879644,0.4734558
1973,10,1.0318451,0.3775235
1973,11,0.47887984,0.43601573
1973,12,0.06137854,-2.0387907
1974,1,0.30974507,1.2254782
1974,2,-0.6121035,-1.314453
1974,3,-0.38412222,-1.2226593
1974,4,0.8410103,-0.91226923
1974,5,-0.64000034,-0.13512942
1974,6,-0.18798351,0.544124
1974,7,-0.9772582,1.7960035
1974,8,0.2273342,1.1690276
1974,9,-1.5619433,0.53425443
1974,10,-1.6706617,-0.16942754
1974,11,-0.66957843,-0.09516603
1974,12,-0.9380977,1.8420681
1975,1,0.17195833,0.69311523
1975,2,2.4476602,0.27928072
1975,3,-0.54359186,-2.1524496
1975,4,-1.1804432,0.023542225
1975,5,-0.37207487,-0.31078702
1975,6,-0.08553219,0.85729563
1975,7,0.10146463,1.3249544
1975,8,1.0833011,1.015067
1975,9,-0.5655043,0.94962037
1975,10,1.7139134,0.5986241
1975,11,0.4087796,-0.71167445
1975,12,1.4547472,-0.36913055
1976,1,0.8764604,0.47592998
1976,2,1.7652262,-0.46392363
1976,3,-0.5939146,0.42726582
1976,4,-0.09310707,-0.8710067
1976,5,-0.64920706,0.10600597
1976,6,0.48597753,0.82094765
1976,7,0.9087896,0.93292457
1976,8,0.61649,0.77363014
1976,9,0.1614945,-0.046514325
1976,10,0.5635529,-1.439148
1976,11,-0.37078273,0.25286227
1976,12,-1.9316586,-2.175049
1977,1,-0.6880131,-1.7666978
1977,2,-0.8967943,-0.71454555
1977,3,-0.1264283,0.028279185
1977,4,-1.9034613,0.5623913
1977,5,-0.78833747,-0.4882462
1977,6,-0.55006266,0.614205
1977,7,-0.073658824,0.96296793
1977,8,0.26809525,0.5369558
1977,9,0.7586154,0.87908715
1977,10,1.1934088,-0.46377686
1977,11,-1.2034812,-0.5757457
1977,12,1.3617382,-0.18171144
1978,1,-0.63787377,-0.8835005
1978,2,-0.80867624,-1.9774787
1978,3,-1.420908,0.56903875
1978,4,-0.0011202693,-1.3276483
1978,5,0.30319053,-0.056803823
1978,6,-0.30837756,0.44364396
1978,7,-0.14330775,1.669212
1978,8,0.25666475,1.0358605
1978,9,0.27151483,0.99657613
1978,10,1.7995596,0.55883664
1978,11,1.7583504,0.8881699
1978,12,0.47331417,-1.6857572
1979,1,-0.99283457,-2.1796608
1979,2,0.22152042,-1.4550414
1979,3,-1.7568728,-0.7881769
1979,4,-0.44049722,-0.050055727
1979,5,-1.6880128,0.4800259
1979,6,0.91154605,0.7048341
1979,7,-0.20849466,1.2082214
1979,8,-0.8414705,0.6010613
1979,9,0.31246036,0.8193563
1979,10,0.79022807,-1.3978796
1979,11,-1.0563835,0.3723334
1979,12,-0.6437703,0.080280185
1980,1,0.19295287,-1.4440275
1980,2,0.557738,0.7668018
1980,3,-0.7040811,-0.4571545
1980,4,0.13424215,0.2921502
1980,5,-0.43976507,-0.33835095
1980,6,-0.6960262,0.7435129
