snow,driver,n,r_pearson,p_pearson,r_detrended,p_detrended,r_spearman,p_spearman,family,q_pearson,sig_pearson,q_detrended,sig_detrended
sca_max,AMO_DJF,23,0.151206559779402,0.4912552997228963,0.22623906539608193,0.3032615104889301,0.08201581027667984,0.7100272621613335,circulation,0.6924255289692474,False,0.5378600374709326,False
sca_max,NCP_DJF,24,0.4535140263251182,0.027229956371885956,0.4449732252494244,0.03394600790108358,0.5121739130434783,0.011133622182211731,circulation,0.11128764778075129,False,0.10909144419493527,False
sca_max,MOI_DJF,24,0.610395130013149,0.0015545085208253167,0.6686940679066102,0.00037258193306936486,0.5747826086956522,0.003337158528897971,circulation,0.01043741435411284,True,0.0046696935611360395,True
sca_max,NAO_SON,24,-0.3103778522978611,0.14496386155564708,-0.3075119549751765,0.16044923418536997,-0.25652173913043474,0.23217433593471182,circulation,0.35170670326458187,False,0.34277790939601765,False
sca_max,EA_SON,24,-0.3643996665166509,0.08050755684676225,-0.2831149962823575,0.19634515863922722,-0.4116624709656139,0.046002109611986294,circulation,0.24166246342886202,False,0.3885567349913128,False
sca_max,WP_SON,24,0.10321146908752525,0.6341215337371351,0.09976941242940035,0.6512441749589419,0.12959339293092004,0.5494930014981212,circulation,0.7791820153109895,False,0.8002216006031443,False
sca_max,EAWR_SON,24,0.3430819163008557,0.10514760141958424,0.33589868102574694,0.12329719628334622,0.32956521739130434,0.12051067969921057,circulation,0.286489116911331,False,0.2971778577085781,False
sca_max,SCAND_SON,24,-0.2559744603396973,0.22981185227455236,-0.3077355903183997,0.14891366483007784,-0.2713043478260869,0.20213054511135073,circulation,0.47739920693498167,False,0.3313108755982797,False
sca_max,POL_SON,24,0.17030399300236287,0.4188835120555041,0.11710786988764846,0.5695548440008952,0.08086956521739129,0.7027114447189107,circulation,0.6561045223853437,False,0.7589316814017301,False
sca_max,AO_SON,24,-0.06490166670213185,0.7685514999701241,-0.03798436907255898,0.8701153875691712,-0.00608695652173913,0.978005220780899,circulation,0.8651957005651697,False,0.9113186231922238,False
sca_max,NINO34_SON,24,-0.03202300954989914,0.882203871316934,-0.029779786448954078,0.8909271779090719,0.0,1.0,circulation,0.9335527352230398,False,0.9221917560611658,False
sca_max,DMI_SON,24,-0.031619781945441544,0.8838956748388356,0.06605228708138823,0.7646436320263891,0.09565217391304347,0.6580061563155777,circulation,0.9335527352230398,False,0.8556726358390544,False
sca_max,AMO_SON,23,0.17362642176337334,0.42380026678445004,0.2828575839467106,0.1904913008367182,0.04545454545454545,0.8353031628258151,circulation,0.6561045223853437,False,0.3830199417893371,False
sca_max,NCP_SON,24,0.3978188348877034,0.05644484896139927,0.46434045074985497,0.026629720019310143,0.37217391304347824,0.07597480849159062,circulation,0.189493421513269,False,0.0910252247932783,False
sca_max,MOI_SON,24,-0.17825848687842993,0.4148066260238552,-0.14179748277738957,0.5379610953633691,-0.10521739130434782,0.6320889484590804,circulation,0.6561045223853437,False,0.7382239848782,False
sle_mean,t2m_djfm,24,0.7190962835186978,8.402921574931711e-05,0.6675047540316343,0.0017503708307959611,0.8295652173913043,6.431711178241328e-07,climate,0.001237464749283048,True,0.012187767266282989,True
sle_mean,t2m_ondjfm,24,0.683009705454465,0.00024372487929998204,0.6050317596189979,0.005642221364351069,0.7026086956521739,0.00013429644738752427,climate,0.0023497578106870067,True,0.027198400423025664,True
sle_mean,tmin_djfm,24,0.6997964439491491,0.00011242495094419842,0.6171080204720875,0.000985559363904018,0.8130434782608694,9.61799988182343e-07,climate,0.001237464749283048,True,0.008617914437858391,True
sle_mean,tmax_djfm,24,0.6069964887840573,0.0017555309315909256,0.5631910730169327,0.008184301099093889,0.6539130434782607,0.0005654967766596159,climate,0.011497167773800339,True,0.036203496626580026,True
sle_mean,precip_ondjfm,24,-0.035518330780557786,0.869107433452367,-0.07949501204748628,0.7109566894389111,-0.01826086956521739,0.9324965942763255,climate,0.9265696340729604,False,0.8360399853126026,False
sle_mean,precip_djfm,24,-0.13801650720009237,0.5202099324208558,-0.17455335551076878,0.414448629342539,-0.18608695652173912,0.384050291637542,climate,0.6924255289692474,False,0.6334661976942872,False
