snow,index,n,r_simple,p_simple,r_partial,p_partial,attenuation,q_partial,sig_partial
sle_mean,AMO_ONDJFM,23,0.032732206906350314,0.8816077074495556,-0.1560187538056627,0.49945831641928806,-0.1232865468993124,0.9719783445134552,False
sle_mean,NCP_ONDJFM,24,-0.6628293448119049,0.0004828241243004584,-0.2582722208132538,0.245839647614314,0.4045571239986511,0.9476057848447951,False
sle_mean,MOI_ONDJFM,24,-0.47135516045384146,0.020381472425733935,-0.15572607529136634,0.488922155373794,0.3156290851624751,0.9719783445134552,False
sle_mean,NAO_DJF,24,-0.14999598430733013,0.4794003154616999,0.019774550747588358,0.9303973190172969,0.13022143355974178,0.9853611305345166,False
sle_mean,EA_DJF,24,0.10351421647709161,0.6297321942973366,-0.029386977980580202,0.8967097632652354,0.0741272384965114,0.9812701600411018,False
sle_mean,WP_DJF,24,0.2680140981493244,0.20007142272346065,0.2555873825116844,0.2509566415489959,0.012426715637640029,0.9476057848447951,False
sle_mean,EAWR_DJF,24,-0.38883294609767516,0.060639679443970244,-0.02234324408811389,0.9213815043247519,0.36648970200956127,0.9838735922290293,False
sle_mean,SCAND_DJF,24,0.2961207680107573,0.16730805898680345,0.2492910646474916,0.2632238291235542,0.04682970336326572,0.9476057848447951,False
sle_mean,POL_DJF,24,-0.33632864621581954,0.11224596684484353,0.11986544572880742,0.5951949349173238,0.21646320048701212,0.9719783445134552,False
sle_mean,AO_DJF,24,-0.3639917413253228,0.08314662172964608,0.0010286986626515168,0.9963749380732057,0.36296304266267126,0.9991570768682322,False
sle_mean,NINO34_DJF,24,-0.11772559878757023,0.5846528690818926,-0.29259071422575755,0.18636717165672775,-0.17486511543818734,0.9476057848447951,False
sle_mean,DMI_DJF,24,0.3170398270377459,0.12902006239077274,0.1441845317345241,0.5220634128598765,0.1728552953032218,0.9719783445134552,False
sle_mean,AMO_DJF,23,-0.03140432210983697,0.8869640382483059,-0.22584404216997073,0.32493347158009,-0.19443972006013377,0.9719783445134552,False
sle_mean,NCP_DJF,24,-0.35743215872508743,0.08931474598359318,0.10160562474376507,0.6527669570765902,0.2558265339813224,0.9719783445134552,False
sle_mean,MOI_DJF,24,-0.4305985919326166,0.035909353026580736,-0.11803120647306696,0.600880667965055,0.31256738545954965,0.9719783445134552,False
sle_mean,NAO_SON,24,-0.02348399178760837,0.9145247443369857,0.04753859377876087,0.8336064274125814,-0.024054601991152502,0.9719783445134552,False
